VALOR,;VIGENCIADESDE;VIGENCIAHASTA
$3,631.49,;11/04/26;13/04/26
$3,642.93,;10/04/26;10/04/26
$3,640.63,;9/04/26;9/04/26
$3,678.19,;8/04/26;8/04/26
$3,664.41,;7/04/26;7/04/26
$3,675.81,;2/04/26;6/04/26
$3,660.10,;1/04/26;1/04/26
$3,669.96,;31/03/26;31/03/26
$3,668.89,;28/03/26;30/03/26
$3,675.29,;27/03/26;27/03/26
$3,688.46,;26/03/26;26/03/26
$3,700.67,;25/03/26;25/03/26
$3,704.87,;21/03/26;24/03/26
$3,692.48,;20/03/26;20/03/26
$3,704.17,;19/03/26;19/03/26
$3,689.97,;18/03/26;18/03/26
$3,691.90,;17/03/26;17/03/26
$3,685.53,;14/03/26;16/03/26
$3,700.46,;13/03/26;13/03/26
$3,687.87,;12/03/26;12/03/26
$3,710.50,;11/03/26;11/03/26
$3,744.84,;10/03/26;10/03/26
$3,795.55,;7/03/26;9/03/26
$3,767.94,;6/03/26;6/03/26
$3,751.41,;5/03/26;5/03/26
$3,797.64,;4/03/26;4/03/26
$3,768.73,;3/03/26;3/03/26
$3,766.30,;28/02/26;2/03/26
$3,745.78,;27/02/26;27/02/26
$3,703.69,;26/02/26;26/02/26
$3,703.28,;25/02/26;25/02/26
$3,697.36,;24/02/26;24/02/26
$3,691.34,;21/02/26;23/02/26
$3,695.72,;20/02/26;20/02/26
$3,669.21,;19/02/26;19/02/26
$3,664.26,;18/02/26;18/02/26
$3,652.89,;14/02/26;17/02/26
$3,665.78,;13/02/26;13/02/26
$3,671.01,;12/02/26;12/02/26
$3,659.71,;11/02/26;11/02/26
$3,651.90,;10/02/26;10/02/26
$3,670.20,;7/02/26;9/02/26
$3,691.75,;6/02/26;6/02/26
$3,644.93,;5/02/26;5/02/26
$3,622.00,;4/02/26;4/02/26
$3,628.16,;3/02/26;3/02/26
$3,670.47,;31/01/26;2/02/26
$3,661.29,;30/01/26;30/01/26
$3,665.97,;29/01/26;29/01/26
$3,678.59,;28/01/26;28/01/26
$3,676.02,;27/01/26;27/01/26
$3,637.88,;24/01/26;26/01/26
$3,630.33,;23/01/26;23/01/26
$3,669.15,;22/01/26;22/01/26
$3,682.97,;21/01/26;21/01/26
$3,700.05,;17/01/26;20/01/26
$3,687.32,;16/01/26;16/01/26
$3,655.16,;15/01/26;15/01/26
$3,663.24,;14/01/26;14/01/26
$3,717.09,;10/01/26;13/01/26
$3,734.67,;9/01/26;9/01/26
$3,748.83,;8/01/26;8/01/26
$3,730.26,;7/01/26;7/01/26
$3,770.03,;6/01/26;6/01/26
$3,790.77,;3/01/26;5/01/26
$3,757.08,;31/12/25;2/01/26
$3,706.97,;30/12/25;30/12/25
$3,716.05,;27/12/25;29/12/25
$3,706.94,;25/12/25;26/12/25
$3,759.48,;24/12/25;24/12/25
$3,792.59,;23/12/25;23/12/25
$3,817.93,;20/12/25;22/12/25
$3,874.71,;19/12/25;19/12/25
$3,866.77,;18/12/25;18/12/25
$3,847.10,;17/12/25;17/12/25
$3,817.59,;16/12/25;16/12/25
$3,788.53,;13/12/25;15/12/25
$3,810.99,;12/12/25;12/12/25
$3,854.28,;11/12/25;11/12/25
$3,861.34,;10/12/25;10/12/25
$3,830.02,;6/12/25;9/12/25
$3,757.92,;5/12/25;5/12/25
$3,780.80,;4/12/25;4/12/25
$3,817.66,;3/12/25;3/12/25
$3,784.43,;2/12/25;2/12/25
$3,744.43,;29/11/25;1/12/25
$3,773.60,;27/11/25;28/11/25
$3,806.16,;26/11/25;26/11/25
$3,804.09,;25/11/25;25/11/25
$3,808.77,;22/11/25;24/11/25
$3,741.27,;21/11/25;21/11/25
$3,716.73,;20/11/25;20/11/25
$3,737.55,;19/11/25;19/11/25
$3,764.77,;15/11/25;18/11/25
$3,719.60,;14/11/25;14/11/25
$3,719.71,;13/11/25;13/11/25
$3,760.93,;11/11/25;12/11/25
$3,779.20,;8/11/25;10/11/25
$3,807.06,;7/11/25;7/11/25
$3,839.47,;6/11/25;6/11/25
$3,872.47,;5/11/25;5/11/25
$3,860.12,;1/11/25;4/11/25
$3,870.42,;31/10/25;31/10/25
$3,885.29,;30/10/25;30/10/25
$3,874.84,;29/10/25;29/10/25
$3,844.20,;28/10/25;28/10/25
$3,858.63,;25/10/25;27/10/25
$3,888.76,;24/10/25;24/10/25
$3,900.82,;23/10/25;23/10/25
$3,876.60,;22/10/25;22/10/25
$3,877.26,;21/10/25;21/10/25
$3,808.12,;18/10/25;20/10/25
$3,877.07,;17/10/25;17/10/25
$3,902.16,;16/10/25;16/10/25
$3,933.31,;15/10/25;15/10/25
$3,913.24,;11/10/25;14/10/25
$3,894.99,;10/10/25;10/10/25
$3,879.80,;9/10/25;9/10/25
$3,867.54,;8/10/25;8/10/25
$3,853.19,;7/10/25;7/10/25
$3,874.18,;4/10/25;6/10/25
$3,897.64,;3/10/25;3/10/25
$3,890.00,;2/10/25;2/10/25
$3,923.55,;1/10/25;1/10/25
$3,901.29,;30/09/25;30/09/25
$3,908.12,;27/09/25;29/09/25
$3,898.87,;26/09/25;26/09/25
$3,881.26,;25/09/25;25/09/25
$3,844.47,;24/09/25;24/09/25
$3,852.16,;23/09/25;23/09/25
$3,891.19,;20/09/25;22/09/25
$3,892.45,;19/09/25;19/09/25
$3,880.01,;18/09/25;18/09/25
$3,881.92,;17/09/25;17/09/25
$3,897.57,;16/09/25;16/09/25
$3,906.24,;13/09/25;15/09/25
$3,903.18,;12/09/25;12/09/25
$3,921.58,;11/09/25;11/09/25
$3,919.13,;10/09/25;10/09/25
$3,945.29,;9/09/25;9/09/25
$3,960.94,;6/09/25;8/09/25
$3,991.09,;5/09/25;5/09/25
$4,002.86,;4/09/25;4/09/25
$4,016.94,;3/09/25;3/09/25
$4,018.41,;30/08/25;2/09/25
$4,019.09,;29/08/25;29/08/25
$4,051.97,;28/08/25;28/08/25
$4,044.51,;27/08/25;27/08/25
$4,017.44,;26/08/25;26/08/25
